(7, '54', 'Secundaria', 'casada', 'Estrato: 2', 'femenino', '4.9', 'Region_1')
(147, '31', 'Secundaria', 'divorciada', 'Estrato: 3', 'femenino', '3.4', 'Region_1')
(201, '76', 'Profesional', 'casada', 'Estrato: 1', 'masculino', '3.4', 'Region_1')
(247, '36', 'Secundaria', 'soltera', 'Estrato: 3', 'masculino', '3.4', 'Region_1')
(492, '49', 'Profesional', 'casada', 'Estrato: 2', 'masculino', '3.4', 'Region_1')
(185, '67', 'Secundaria', 'casada', 'Estrato: 3', 'masculino', '3.3', 'Region_1')
(224, '70', 'Secundaria', 'soltera', 'Estrato: 3', 'femenino', '3.3', 'Region_1')
(130, '44', 'Profesional', 'casada', 'Estrato: 3', 'masculino', '3.2', 'Region_1')
(233, '58', 'Secundaria', 'soltera', 'Estrato: 3', 'masculino', '3.2', 'Region_1')
(266, '80', 'Secundaria', 'soltera', 'Estrato: 3', 'masculino', '3.2', 'Region_1')
(358, '24', 'Secundaria', 'casada', 'Estrato: 3', 'masculino', '3.2', 'Region_1')
(416, '55', 'Secundaria', 'casada', 'Estrato: 3', 'masculino', '3.2', 'Region_1')
(451, '46', 'Secundaria', 'soltera', 'Estrato: 1', 'femenino', '3.2', 'Region_1')
(61, '63', 'Profesional', 'soltera', 'Estrato: 1', 'masculino', '3.1', 'Region_1')
(75, '58', 'Profesional', 'divorciada', 'Estrato: 1', 'femenino', '3.1', 'Region_1')
(390, '42', 'Secundaria', 'divorciada', 'Estrato: 2', 'femenino', '3.1', 'Region_1')
(392, '44', 'Primaria', 'divorciada', 'Estrato: 4', 'masculino', '3.1', 'Region_1')
(427, '80', 'Primaria', 'casada', 'Estrato: 1', 'no binario', '3.1', 'Region_1')
(444, '66', 'Profesional', 'soltera', 'Estrato: 1', 'femenino', '3.1', 'Region_1')
(486, '80', 'Secundaria', 'soltera', 'Estrato: 2', 'femenino', '3.1', 'Region_1')
(19, '37', 'Profesional', 'casada', 'Estrato: 2', 'masculino', '3.0', 'Region_1')
(26, '78', 'Secundaria', 'soltera', 'Estrato: 3', 'femenino', '3.0', 'Region_1')
(62, '79', 'Secundaria', 'soltera', 'Estrato: 2', 'femenino', '3.0', 'Region_1')
(148, '58', 'Secundaria', 'casada', 'Estrato: 2', 'femenino', '3.0', 'Region_1')
(182, '42', 'Profesional', 'casada', 'Estrato: 2', 'femenino', '3.0', 'Region_1')
(212, '22', 'Maestria', 'casada', 'Estrato: 2', 'masculino', '3.0', 'Region_1')
(230, '63', 'Profesional', 'soltera', 'Estrato: 1', 'femenino', '3.0', 'Region_1')
(273, '46', 'Secundaria', 'soltera', 'Estrato: 3', 'femenino', '3.0', 'Region_1')
(304, '38', 'Secundaria', 'divorciada', 'Estrato: 2', 'femenino', '3.0', 'Region_1')
(329, '48', 'Secundaria', 'soltera', 'Estrato: 2', 'masculino', '3.0', 'Region_1')
(407, '66', 'Secundaria', 'soltera', 'Estrato: 2', 'femenino', '3.0', 'Region_1')
(18, '38', 'Secundaria', 'soltera', 'Estrato: 3', 'masculino', '2.9', 'Region_1')
(29, '49', 'Secundaria', 'divorciada', 'Estrato: 1', 'femenino', '2.9', 'Region_1')
(421, '28', 'Secundaria', 'divorciada', 'Estrato: 1', 'masculino', '2.9', 'Region_1')
(496, '24', 'Secundaria', 'viuda', 'Estrato: 1', 'femenino', '2.9', 'Region_1')
(203, '67', 'Secundaria', 'casada', 'Estrato: 2', 'masculino', '2.8', 'Region_1')
(285, '40', 'Secundaria', 'casada', 'Estrato: 4', 'no binario', '2.7', 'Region_1')
(349, '20', 'Secundaria', 'soltera', 'Estrato: 2', 'masculino', '2.7', 'Region_1')
(395, '75', 'Secundaria', 'casada', 'Estrato: 2', 'masculino', '2.7', 'Region_1')
(498, '54', 'Secundaria', 'divorciada', 'Estrato: 2', 'femenino', '2.7', 'Region_1')
(24, '24', 'Profesional', 'casada', 'Estrato: 3', 'femenino', '2.6', 'Region_1')
(34, '67', 'Secundaria', 'casada', 'Estrato: 2', 'no binario', '2.6', 'Region_1')
(91, '37', 'Secundaria', 'casada', 'Estrato: 2', 'femenino', '2.6', 'Region_1')
(100, '78', 'Secundaria', 'soltera', 'Estrato: 1', 'femenino', '2.6', 'Region_1')
(236, '65', 'Secundaria', 'soltera', 'Estrato: 3', 'femenino', '2.6', 'Region_1')
(327, '63', 'Secundaria', 'soltera', 'Estrato: 3', 'masculino', '2.6', 'Region_1')
(209, '55', 'Secundaria', 'casada', 'Estrato: 1', 'femenino', '2.5', 'Region_1')
(0, '36', 'Secundaria', 'casada', 'Estrato: 5', 'masculino', '2.4', 'Region_1')
(144, '44', 'Primaria', 'soltera', 'Estrato: 3', 'femenino', '2.4', 'Region_1')
(170, '45', 'Secundaria', 'soltera', 'Estrato: 2', 'masculino', '2.4', 'Region_1')
(186, '52', 'Secundaria', 'divorciada', 'Estrato: 2', 'masculino', '2.4', 'Region_1')
(373, '34', 'Secundaria', 'soltera', 'Estrato: 3', 'otro', '2.4', 'Region_1')
(206, '74', 'Profesional', 'casada', 'Estrato: 4', 'femenino', '2.3', 'Region_1')
(271, '71', 'Secundaria', 'soltera', 'Estrato: 4', 'femenino', '2.3', 'Region_1')
(339, '37', 'Secundaria', 'soltera', 'Estrato: 3', 'masculino', '2.3', 'Region_1')
(388, '58', 'Secundaria', 'soltera', 'Estrato: 2', 'masculino', '2.2', 'Region_1')
(404, '28', 'Secundaria', 'casada', 'Estrato: 4', 'femenino', '2.2', 'Region_1')
(480, '26', 'Secundaria', 'viuda', 'Estrato: 1', 'masculino', '2.2', 'Region_1')
(483, '70', 'Secundaria', 'divorciada', 'Estrato: 3', 'masculino', '2.2', 'Region_1')
(63, '67', 'Profesional', 'divorciada', 'Estrato: 1', 'masculino', '2.1', 'Region_1')
(227, '40', 'Secundaria', 'casada', 'Estrato: 3', 'no binario', '2.1', 'Region_1')
(244, '20', 'Secundaria', 'divorciada', 'Estrato: 1', 'masculino', '2.1', 'Region_1')
(348, '29', 'Secundaria', 'soltera', 'Estrato: 3', 'femenino', '2.1', 'Region_1')
(497, '50', 'Profesional', 'casada', 'Estrato: 1', 'no binario', '2.1', 'Region_1')
(94, '46', 'Secundaria', 'casada', 'Estrato: 3', 'femenino', '2.0', 'Region_1')
(154, '59', 'Primaria', 'divorciada', 'Estrato: 2', 'femenino', '2.0', 'Region_1')
(258, '68', 'Secundaria', 'casada', 'Estrato: 3', 'masculino', '2.0', 'Region_1')
(344, '42', 'Secundaria', 'soltera', 'Estrato: 2', 'masculino', '2.0', 'Region_1')
(359, '24', 'Secundaria', 'casada', 'Estrato: 1', 'femenino', '2.0', 'Region_1')
(387, '56', 'Secundaria', 'casada', 'Estrato: 1', 'masculino', '2.0', 'Region_1')
(490, '34', 'Secundaria', 'casada', 'Estrato: 3', 'masculino', '2.0', 'Region_1')
(268, '74', 'Secundaria', 'soltera', 'Estrato: 3', 'femenino', '1.9', 'Region_1')
(282, '22', 'Secundaria', 'soltera', 'Estrato: 4', 'femenino', '1.9', 'Region_1')
(420, '57', 'Secundaria', 'casada', 'Estrato: 3', 'masculino', '1.9', 'Region_1')
(93, '20', 'Profesional', 'casada', 'Estrato: 1', 'femenino', '1.8', 'Region_1')
(389, '68', 'Profesional', 'casada', 'Estrato: 4', 'masculino', '1.7', 'Region_1')
(445, '25', 'Maestria', 'casada', 'Estrato: 2', 'femenino', '1.7', 'Region_1')
(116, '52', 'Secundaria', 'casada', 'Estrato: 2', 'femenino', '1.6', 'Region_1')
(112, '73', 'Secundaria', 'divorciada', 'Estrato: 3', 'femenino', '1.4', 'Region_1')
(183, '51', 'Secundaria', 'casada', 'Estrato: 3', 'femenino', '1.3', 'Region_1')
(465, '38', 'Secundaria', 'casada', 'Estrato: 2', 'masculino', '1.3', 'Region_1')
(441, '45', 'Secundaria', 'divorciada', 'Estrato: 1', 'masculino', '1.1', 'Region_1')
(275, '29', 'Secundaria', 'divorciada', 'Estrato: 3', 'masculino', '1.0', 'Region_1')
(412, '74', 'Secundaria', 'soltera', 'Estrato: 1', 'masculino', '1.0', 'Region_1')
(431, '79', 'Secundaria', 'casada', 'Estrato: 5', 'masculino', '1.0', 'Region_1')
(1, '66', 'Profesional', 'divorciada', 'Estrato: 1', 'masculino', '0.9', 'Region_1')
(46, '35', 'Secundaria', 'casada', 'Estrato: 2', 'no binario', '0.9', 'Region_1')
(264, '75', 'Secundaria', 'divorciada', 'Estrato: 2', 'masculino', '0.9', 'Region_1')
(260, '50', 'Secundaria', 'soltera', 'Estrato: 2', 'no binario', '0.8', 'Region_1')
(493, '23', 'Secundaria', 'divorciada', 'Estrato: 1', 'masculino', '0.8', 'Region_1')
(288, '43', 'Secundaria', 'soltera', 'Estrato: 1', 'femenino', '0.6', 'Region_1')
(476, '38', 'Secundaria', 'casada', 'Estrato: 2', 'masculino', '0.6', 'Region_1')
(381, '24', 'Secundaria', 'soltera', 'Estrato: 1', 'masculino', '0.4', 'Region_1')
(249, '59', 'Primaria', 'casada', 'Estrato: 3', 'masculino', '0.3', 'Region_1')
(150, '34', 'Profesional', 'soltera', 'Estrato: 2', 'femenino', '0.2', 'Region_1')
(424, '76', 'Secundaria', 'divorciada', 'Estrato: 2', 'masculino', '0.2', 'Region_1')
(459, '22', 'Profesional', 'divorciada', 'Estrato: 2', 'no binario', '0.2', 'Region_1')
(405, '50', 'Profesional', 'casada', 'Estrato: 2', 'femenino', '0.1', 'Region_1')
(393, '37', 'Secundaria', 'casada', 'Estrato: 4', 'femenino', '0.0', 'Region_1')
(376, '69', 'Secundaria', 'soltera', 'Estrato: 1', 'masculino', '5.0', 'Region_2')
(363, '32', 'Secundaria', 'casada', 'Estrato: 1', 'femenino', '4.9', 'Region_2')
(471, '21', 'Secundaria', 'soltera', 'Estrato: 3', 'masculino', '4.9', 'Region_2')
(109, '60', 'Profesional', 'soltera', 'Estrato: 3', 'femenino', '4.7', 'Region_2')
(385, '49', 'Secundaria', 'soltera', 'Estrato: 1', 'masculino', '4.7', 'Region_2')
(161, '26', 'Secundaria', 'casada', 'Estrato: 3', 'masculino', '4.4', 'Region_2')
(355, '68', 'Maestria', 'soltera', 'Estrato: 2', 'femenino', '4.4', 'Region_2')
(287, '20', 'Secundaria', 'soltera', 'Estrato: 1', 'femenino', '4.3', 'Region_2')
(262, '36', 'Secundaria', 'casada', 'Estrato: 2', 'femenino', '4.2', 'Region_2')
(79, '59', 'Secundaria', 'casada', 'Estrato: 3', 'masculino', '4.0', 'Region_2')
(250, '25', 'Secundaria', 'divorciada', 'Estrato: 1', 'femenino', '4.0', 'Region_2')
(253, '57', 'Secundaria', 'soltera', 'Estrato: 1', 'masculino', '4.0', 'Region_2')
(289, '54', 'Secundaria', 'casada', 'Estrato: 1', 'masculino', '4.0', 'Region_2')
(337, '23', 'Profesional', 'divorciada', 'Estrato: 2', 'femenino', '4.0', 'Region_2')
(361, '73', 'Profesional', 'divorciada', 'Estrato: 1', 'no binario', '4.0', 'Region_2')
(69, '52', 'Secundaria', 'soltera', 'Estrato: 2', 'femenino', '3.9', 'Region_2')
(188, '36', 'Primaria', 'casada', 'Estrato: 3', 'masculino', '3.9', 'Region_2')
(240, '24', 'Secundaria', 'casada', 'Estrato: 2', 'masculino', '3.8', 'Region_2')
(107, '58', 'Secundaria', 'divorciada', 'Estrato: 1', 'femenino', '3.7', 'Region_2')
(294, '39', 'Primaria', 'divorciada', 'Estrato: 3', 'femenino', '3.7', 'Region_2')
(472, '54', 'Profesional', 'divorciada', 'Estrato: 3', 'masculino', '3.7', 'Region_2')
(179, '39', 'Secundaria', 'soltera', 'Estrato: 3', 'no binario', '3.6', 'Region_2')
(368, '44', 'Profesional', 'soltera', 'Estrato: 1', 'femenino', '3.6', 'Region_2')
(386, '28', 'Secundaria', 'divorciada', 'Estrato: 2', 'femenino', '3.6', 'Region_2')
(248, '48', 'Secundaria', 'divorciada', 'Estrato: 1', 'masculino', '3.5', 'Region_2')
(252, '36', 'Profesional', 'divorciada', 'Estrato: 2', 'femenino', '3.5', 'Region_2')
(300, '79', 'Secundaria', 'casada', 'Estrato: 3', 'femenino', '3.5', 'Region_2')
(397, '57', 'Secundaria', 'soltera', 'Estrato: 3', 'femenino', '3.5', 'Region_2')
(151, '69', 'Secundaria', 'casada', 'Estrato: 2', 'masculino', '3.4', 'Region_2')
(173, '28', 'Maestria', 'divorciada', 'Estrato: 3', 'femenino', '3.4', 'Region_2')
(370, '46', 'Profesional', 'divorciada', 'Estrato: 2', 'femenino', '3.4', 'Region_2')
(384, '71', 'Secundaria', 'casada', 'Estrato: 4', 'masculino', '3.4', 'Region_2')
(52, '23', 'Profesional', 'soltera', 'Estrato: 3', 'masculino', '3.3', 'Region_2')
(66, '30', 'Secundaria', 'divorciada', 'Estrato: 2', 'no binario', '3.3', 'Region_2')
(81, '46', 'Secundaria', 'soltera', 'Estrato: 2', 'no binario', '3.3', 'Region_2')
(234, '23', 'Secundaria', 'soltera', 'Estrato: 1', 'femenino', '3.3', 'Region_2')
(270, '40', 'Secundaria', 'divorciada', 'Estrato: 2', 'masculino', '3.3', 'Region_2')
(347, '59', 'Profesional', 'divorciada', 'Estrato: 1', 'no binario', '3.3', 'Region_2')
(2, '24', 'Secundaria', 'divorciada', 'Estrato: 3', 'femenino', '3.2', 'Region_2')
(403, '79', 'Profesional', 'casada', 'Estrato: 2', 'masculino', '3.2', 'Region_2')
(103, '43', 'Maestria', 'casada', 'Estrato: 3', 'masculino', '3.1', 'Region_2')
(426, '44', 'Profesional', 'divorciada', 'Estrato: 2', 'femenino', '3.1', 'Region_2')
(11, '64', 'Primaria', 'casada', 'Estrato: 2', 'femenino', '3.0', 'Region_2')
(20, '71', 'Secundaria', 'soltera', 'Estrato: 3', 'femenino', '3.0', 'Region_2')
(21, '51', 'Secundaria', 'soltera', 'Estrato: 1', 'femenino', '3.0', 'Region_2')
(54, '71', 'Secundaria', 'viuda', 'Estrato: 2', 'masculino', '3.0', 'Region_2')
(101, '66', 'Secundaria', 'casada', 'Estrato: 2', 'masculino', '3.0', 'Region_2')
(165, '27', 'Secundaria', 'soltera', 'Estrato: 1', 'femenino', '3.0', 'Region_2')
(176, '29', 'Secundaria', 'casada', 'Estrato: 2', 'masculino', '3.0', 'Region_2')
(191, '21', 'Secundaria', 'soltera', 'Estrato: 2', 'femenino', '3.0', 'Region_2')
(298, '54', 'Secundaria', 'soltera', 'Estrato: 2', 'femenino', '3.0', 'Region_2')
(307, '68', 'Profesional', 'casada', 'Estrato: 3', 'femenino', '3.0', 'Region_2')
(430, '50', 'Secundaria', 'casada', 'Estrato: 2', 'femenino', '3.0', 'Region_2')
(499, '66', 'Secundaria', 'casada', 'Estrato: 2', 'femenino', '3.0', 'Region_2')
(43, '64', 'Secundaria', 'soltera', 'Estrato: 2', 'masculino', '2.9', 'Region_2')
(76, '77', 'Secundaria', 'soltera', 'Estrato: 3', 'masculino', '2.9', 'Region_2')
(278, '35', 'Secundaria', 'casada', 'Estrato: 3', 'femenino', '2.9', 'Region_2')
(172, '34', 'Secundaria', 'divorciada', 'Estrato: 2', 'femenino', '2.8', 'Region_2')
(55, '77', 'Secundaria', 'divorciada', 'Estrato: 3', 'masculino', '2.7', 'Region_2')
(216, '52', 'Maestria', 'soltera', 'Estrato: 1', 'femenino', '2.7', 'Region_2')
(429, '43', 'Profesional', 'soltera', 'Estrato: 3', 'femenino', '2.7', 'Region_2')
(217, '61', 'Secundaria', 'divorciada', 'Estrato: 1', 'femenino', '2.6', 'Region_2')
(325, '77', 'Secundaria', 'viuda', 'Estrato: 3', 'femenino', '2.6', 'Region_2')
(371, '77', 'Profesional', 'casada', 'Estrato: 4', 'masculino', '2.6', 'Region_2')
(312, '76', 'Profesional', 'soltera', 'Estrato: 3', 'masculino', '2.5', 'Region_2')
(382, '75', 'Secundaria', 'divorciada', 'Estrato: 2', 'femenino', '2.5', 'Region_2')
(440, '20', 'Secundaria', 'soltera', 'Estrato: 2', 'masculino', '2.5', 'Region_2')
(35, '68', 'Profesional', 'divorciada', 'Estrato: 2', 'masculino', '2.4', 'Region_2')
(95, '62', 'Secundaria', 'casada', 'Estrato: 1', 'femenino', '2.4', 'Region_2')
(391, '60', 'Primaria', 'casada', 'Estrato: 3', 'masculino', '2.4', 'Region_2')
(160, '47', 'Secundaria', 'soltera', 'Estrato: 2', 'femenino', '2.3', 'Region_2')
(64, '46', 'Secundaria', 'casada', 'Estrato: 3', 'femenino', '2.2', 'Region_2')
(106, '24', 'Primaria', 'casada', 'Estrato: 1', 'masculino', '2.2', 'Region_2')
(313, '25', 'Profesional', 'soltera', 'Estrato: 1', 'no binario', '2.2', 'Region_2')
(360, '23', 'Profesional', 'soltera', 'Estrato: 5', 'femenino', '2.2', 'Region_2')
(481, '69', 'Secundaria', 'soltera', 'Estrato: 4', 'femenino', '2.2', 'Region_2')
(3, '55', 'Secundaria', 'casada', 'Estrato: 3', 'masculino', '2.1', 'Region_2')
(121, '32', 'Secundaria', 'soltera', 'Estrato: 3', 'femenino', '2.1', 'Region_2')
(418, '66', 'Primaria', 'casada', 'Estrato: 3', 'masculino', '2.1', 'Region_2')
(166, '29', 'Secundaria', 'casada', 'Estrato: 1', 'no binario', '2.0', 'Region_2')
(40, '44', 'Secundaria', 'divorciada', 'Estrato: 2', 'masculino', '1.9', 'Region_2')
(463, '54', 'Secundaria', 'casada', 'Estrato: 2', 'masculino', '1.9', 'Region_2')
(13, '53', 'Secundaria', 'casada', 'Estrato: 3', 'femenino', '1.8', 'Region_2')
(402, '78', 'Secundaria', 'casada', 'Estrato: 3', 'masculino', '1.8', 'Region_2')
(41, '22', 'Secundaria', 'soltera', 'Estrato: 2', 'masculino', '1.7', 'Region_2')
(68, '64', 'Secundaria', 'divorciada', 'Estrato: 2', 'femenino', '1.7', 'Region_2')
(449, '66', 'Secundaria', 'casada', 'Estrato: 2', 'femenino', '1.7', 'Region_2')
(406, '35', 'Secundaria', 'divorciada', 'Estrato: 1', 'femenino', '1.6', 'Region_2')
(131, '80', 'Secundaria', 'viuda', 'Estrato: 1', 'femenino', '1.5', 'Region_2')
(167, '21', 'Secundaria', 'casada', 'Estrato: 1', 'femenino', '1.5', 'Region_2')
(178, '36', 'Secundaria', 'divorciada', 'Estrato: 2', 'no binario', '1.5', 'Region_2')
(484, '25', 'Profesional', 'soltera', 'Estrato: 3', 'femenino', '1.4', 'Region_2')
(192, '55', 'Secundaria', 'casada', 'Estrato: 3', 'femenino', '1.3', 'Region_2')
(231, '69', 'Secundaria', 'divorciada', 'Estrato: 3', 'no binario', '1.3', 'Region_2')
(14, '47', 'Secundaria', 'divorciada', 'Estrato: 1', 'no binario', '1.2', 'Region_2')
(133, '33', 'Profesional', 'casada', 'Estrato: 1', 'femenino', '1.2', 'Region_2')
(158, '44', 'Profesional', 'casada', 'Estrato: 2', 'masculino', '1.2', 'Region_2')
(324, '42', 'Secundaria', 'divorciada', 'Estrato: 4', 'femenino', '1.2', 'Region_2')
(184, '57', 'Secundaria', 'casada', 'Estrato: 1', 'masculino', '1.1', 'Region_2')
(257, '48', 'Secundaria', 'divorciada', 'Estrato: 3', 'femenino', '1.1', 'Region_2')
(290, '54', 'Profesional', 'casada', 'Estrato: 1', 'masculino', '1.1', 'Region_2')
(332, '70', 'Secundaria', 'casada', 'Estrato: 3', 'masculino', '1.1', 'Region_2')
(396, '27', 'Primaria', 'soltera', 'Estrato: 2', 'femenino', '1.1', 'Region_2')
(267, '48', 'Secundaria', 'casada', 'Estrato: 3', 'femenino', '1.0', 'Region_2')
(411, '23', 'Secundaria', 'divorciada', 'Estrato: 3', 'femenino', '1.0', 'Region_2')
(200, '21', 'Secundaria', 'soltera', 'Estrato: 2', 'femenino', '0.9', 'Region_2')
(309, '24', 'Profesional', 'divorciada', 'Estrato: 1', 'femenino', '0.9', 'Region_2')
(67, '19', 'Secundaria', 'divorciada', 'Estrato: 3', 'masculino', '0.8', 'Region_2')
(343, '57', 'Secundaria', 'divorciada', 'Estrato: 3', 'femenino', '0.6', 'Region_2')
(345, '67', 'Secundaria', 'casada', 'Estrato: 2', 'femenino', '0.6', 'Region_2')
(425, '18', 'Secundaria', 'casada', 'Estrato: 2', 'masculino', '0.6', 'Region_2')
(246, '19', 'Secundaria', 'casada', 'Estrato: 2', 'masculino', '0.5', 'Region_2')
(251, '74', 'Secundaria', 'soltera', 'Estrato: 4', 'masculino', '0.4', 'Region_2')
(317, '64', 'Secundaria', 'soltera', 'Estrato: 1', 'no binario', '0.2', 'Region_2')
(487, '60', 'Primaria', 'soltera', 'Estrato: 3', 'femenino', '0.2', 'Region_2')
(15, '24', 'Secundaria', 'divorciada', 'Estrato: 1', 'femenino', '0.1', 'Region_2')
(457, '74', 'Profesional', 'soltera', 'Estrato: 1', 'masculino', '0.1', 'Region_2')
(422, '50', 'Secundaria', 'soltera', 'Estrato: 1', 'masculino', '4.2', 'Region_3')
(138, '62', 'Secundaria', 'divorciada', 'Estrato: 3', 'masculino', '4.0', 'Region_3')
(113, '57', 'Profesional', 'divorciada', 'Estrato: 2', 'femenino', '3.9', 'Region_3')
(194, '46', 'Secundaria', 'casada', 'Estrato: 2', 'masculino', '3.8', 'Region_3')
(99, '64', 'Secundaria', 'viuda', 'Estrato: 5', 'femenino', '3.4', 'Region_3')
(214, '64', 'Secundaria', 'casada', 'Estrato: 1', 'masculino', '3.2', 'Region_3')
(228, '32', 'Secundaria', 'casada', 'Estrato: 3', 'femenino', '3.0', 'Region_3')
(153, '20', 'Secundaria', 'casada', 'Estrato: 4', 'femenino', '2.9', 'Region_3')
(50, '59', 'Secundaria', 'soltera', 'Estrato: 3', 'femenino', '2.8', 'Region_3')
(189, '27', 'Secundaria', 'soltera', 'Estrato: 2', 'femenino', '2.8', 'Region_3')
(286, '57', 'Primaria', 'soltera', 'Estrato: 1', 'femenino', '2.7', 'Region_3')
(303, '45', 'Secundaria', 'soltera', 'Estrato: 2', 'femenino', '2.7', 'Region_3')
(58, '19', 'Secundaria', 'divorciada', 'Estrato: 1', 'masculino', '2.6', 'Region_3')
(364, '80', 'Secundaria', 'soltera', 'Estrato: 4', 'masculino', '2.6', 'Region_3')
(261, '30', 'Secundaria', 'divorciada', 'Estrato: 2', 'femenino', '2.5', 'Region_3')
(198, '61', 'Maestria', 'casada', 'Estrato: 3', 'masculino', '2.4', 'Region_3')
(65, '79', 'Secundaria', 'casada', 'Estrato: 2', 'femenino', '2.3', 'Region_3')
(320, '18', 'Secundaria', 'casada', 'Estrato: 4', 'masculino', '2.3', 'Region_3')
(4, '26', 'Secundaria', 'divorciada', 'Estrato: 2', 'otro', '2.1', 'Region_3')
(39, '30', 'Maestria', 'soltera', 'Estrato: 1', 'masculino', '2.1', 'Region_3')
(73, '18', 'Secundaria', 'casada', 'Estrato: 2', 'femenino', '2.1', 'Region_3')
(205, '27', 'Profesional', 'divorciada', 'Estrato: 3', 'masculino', '2.1', 'Region_3')
(221, '66', 'Profesional', 'divorciada', 'Estrato: 2', 'masculino', '2.0', 'Region_3')
(277, '65', 'Secundaria', 'viuda', 'Estrato: 4', 'masculino', '2.0', 'Region_3')
(410, '22', 'Secundaria', 'casada', 'Estrato: 2', 'masculino', '2.0', 'Region_3')
(342, '49', 'Profesional', 'casada', 'Estrato: 2', 'femenino', '1.9', 'Region_3')
(98, '20', 'Profesional', 'casada', 'Estrato: 2', 'masculino', '1.8', 'Region_3')
(117, '58', 'Secundaria', 'divorciada', 'Estrato: 3', 'femenino', '1.7', 'Region_3')
